meaning,output_VSO,output_VOS,meaning_type
VERB_1 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_2 NONE_1 NONE_2 NONE_3,Verb_1 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_2 mk,Verb_1 Animate_2 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_2 NONE_1 NONE_2 NONE_3,Verb_2 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_2 mk,Verb_2 Animate_2 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_2 NONE_1 NONE_2 NONE_3,Verb_3 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_2 mk,Verb_3 Animate_2 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_2 NONE_1 NONE_2 NONE_3,Verb_4 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_2 mk,Verb_4 Animate_2 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_5 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_2 NONE_1 NONE_2 NONE_3,Verb_5 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_2 mk,Verb_5 Animate_2 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_6 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_2 NONE_1 NONE_2 NONE_3,Verb_6 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_2 mk,Verb_6 Animate_2 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_3 NONE_1 NONE_2 NONE_3,Verb_1 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_3 mk,Verb_1 Animate_3 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_3 NONE_1 NONE_2 NONE_3,Verb_2 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_3 mk,Verb_2 Animate_3 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_3 NONE_1 NONE_2 NONE_3,Verb_3 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_3 mk,Verb_3 Animate_3 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_3 NONE_1 NONE_2 NONE_3,Verb_4 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_3 mk,Verb_4 Animate_3 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
